 code	 name	 authorship	date	source	pages	misspelling	assessment	comments	combinations	basionym	link
101744	ABOLLIFER	N. V&oslash;rs	1992	Ophelia	36: 69						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101744
100005	ABRATOPDINIUM	S. Mao & B.A.R. Mohr	1992	Proc. Ocean Drilling Program, Sci. Results	120: 317						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100005
150597	ACANTHOCERAS	K&uuml;tzing	1842	Linnaea	15: 731						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?150597
131974	ACANTHONEMA	J. Agardh	1846	&Ouml;fvers. Kongl. [Svenska] Vetensk.-Akad. F&ouml;rh.	3: 104			nom. rej. vs. Acanthonema J.D. Hooker 1862 (Gesneriaeae). nom. cons.			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?131974
158422	ACANTHOSIPHONIA	A.M. Savoie & G.W. Saunders	2018	Europ. J. Phycol.	54: 9						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?158422
158919	ACARPOSPOROPHYCOS	O. Necchi	2019	Phytotaxa	395: 55						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?158919
100023	ACARYOCHLORIS	H. Miyashita & M. Chihara	2003	J. Phycol.	39: 1249						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100023
132189	ACETABULUM	Boehmer	1760	Def. Gen. Pl. ed. Boehmer:	504	as Acetabvlvm Tourn. 569; "Planta coriacea, tenui pedunculo, folia caua peluiformia, instar pilei fungorum sustinens."		nom. rej. vs. Acetabularia Lamouroux 1812 (nom. cons.)			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?132189
132190	ACETABULUM	Lamarck	1816	Hist. Nat. Anim. Sans Vert.	2: 149		illegitimate	isonym of Acetabulum Boehmer 1760 (nom. rej.)			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?132190
100033	ACHNANTELLA	Gaillon	1833	Tabl. N&eacute;mazoaires:	[10]		illegitimate	unwarranted change of name		<500079>Achnanthes Bory de Saint-Vincent 1822	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100033
101630	ACHNANTHEIOPSIS	H. Lange-Bertalot	1997	Arch. Protistenk.	148: 200						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101630
156596	ACHOMA	P.M. Novis & G. Visnovsky	2012	Phytotaxa	39: 19						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?156596
100342	ACICULARIA	d'Archiac	1843	M&eacute;m. Soc. G&eacute;ol. France	5: 386						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100342
122337	ACIGONIUM	S. Komura	1999	Diatom	15: 70						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?122337
101728	ACINETA	Ehrenberg	1834	IIIter Beitr.	xx			fide L. Agassiz, Nomencl. Zool., Polygastrica: 1. 1843.			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101728
154034	ACLETOA	M.S. Calderon & S.M. Boo	2017	Phycologia	56: 687						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?154034
131880	ACONTA	E. M&ouml;hn	1984	System und Phylogenie der Lebewesen	1: 122						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?131880
100372	ACRITA	R. Owen	1861	Palaeontology, ed. 2:	4, 6					<116336>Protozoa R. Owen 1860	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100372
