 code	 name	 authorship	date	source	pages	misspelling	assessment	comments	combinations	basionym	link
143783	ACRONEMA	T.H. Teal, T. Guillemette, M. Chapman & L. Margulis	1998	Europ. J. Protistol.	34: 409		illegitimate	not Acronema Falconer ex Edgeworth 1845			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?143783
100427	ACROSYMPHYTONEMA	C.F. Boudouresque, M. Perret-Boudouresque, & M. Knoepffler-Peguy	1984	Vie et Milieu	34: 46		invalid	type species not validly published			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100427
100428	ACROTHAMNIOPSIS	A. Athanasiadis & G.T. Kraft	1996	Opera Botanica	128: 92						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100428
151365	ACROTHESAURUM	G.T. Kraft & G.A. Saunders	2016	J. Phycol.	52: 512						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?151365
100437	ACTINELLA	F.W. Lewis	1863	Fossil Diatomaceae	Proc. Acad. Nat. Sci. Philadelphia		nom. cons.	not Actinella Persoon 1807			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100437
142191	ACTINELLOPSIS	J.C. Taylor, B. Karthick & J.P. Kociolek	2014	Phytotaxa	178: 129						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?142191
101731	ACTINISCUS	(Ehrenberg) Ehrenberg	1843	Bacillaria	Ber. K&ouml;nigl. Akad. Wiss. Berlin					<106678>Dictyocha [unranked] Actiniscus Ehrenberg 1840	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101731
101729	ACTINISCUS	(Ehrenberg) L. Agassiz	1843	Nomencl. Zool., Polygastrica:	1					<106678>Dictyocha [unranked] Actiniscus Ehrenberg 1840	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101729
148393	ACTINODONTUM	S. Alfinito & P.F.M. Coesel	2013	Plant Biosystems	147: 674						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?148393
101738	ACTINOPTYCHUS	(Ehrenberg) Ehrenberg	1841	Naviculaceae	Abh. K&ouml;nigl. Akad. Wiss. Berlin, Phys. Kl.					<101736>Actinocyclus [unranked] Actinoptychus Ehrenberg 1840	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101738
101737	ACTINOPTYCHUS	(Ehrenberg) L. Agassiz	1843	Nomencl. Zool., Polygastrica:	1					<101736>Actinocyclus [unranked] Actinoptychus Ehrenberg 1840	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101737
156774	ACTINOSTEPHANOS	G.K. Khursevich	1989	Bot. Zhurn.	74: 487						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?156774
100524	ACUTOCHARA	L.Ya. Sajdakovskij	1993	Algologiya	3{2}: 78						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100524
151623	ACUTODESMUS	(Hegewald) P.M. Tsarenko	2001	Algologia	(unnumbered supplement): 10		illegitimate	includes type of Tetradesmus, T. wisconensis G.M. Smith 1913		<>Scenedesmus subgen. Acutodesmus Hegewald 1978	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?151623
100526	ACUTURRIS	F.H. Wind & S.W. Wise, Jr.	1977	Initial Rep. Deep Sea Drilling Project	36: 296						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100526
100530	ADAMSIELLA	L.E. Phillips & W.A. Nelson	2002	J. Phycol.	38: 210						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100530
100534	ADELOPHYCUS	G.T. Kraft	1994	Mar. Benth. Fl. S. Australia 3A:	271					<100535>Adelophyton G.T. Kraft 1975, illeg.	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100534
100535	ADELOPHYTON	G.T. Kraft	1975	Brit. Phycol. J.	10: 280		illegitimate	not Adelophyton Renault 1900			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100535
158672	ADEYLITHON	V. Pe&ntilde;a, L. Le Gall & J.C. Braga	2018	J. Phycol.	55: 138						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?158672
100544	ADLAFIA	G. Moser, H. Lange-Bertalot, & D. Metzeltin	1998	Biblioth. Diatomol.	38: 87						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100544
150109	ADUNCODINIUM	N.S. Kang, H.J. Jeong, & &Oslash;. Moestrup	2014	Harmful Algae	41: 34		invalid	name of type species not validly published			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?150109
135448	AEGAGROPILOPSIS	Boedeker	2012	J. Phycol.	48: 822						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?135448
146682	AERONEMA	J.W. Snow	1911	Bot. Gaz.	51: 367						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?146682
137604	AEROSAKKONEMA	Nanda Kyan Thu & M.M. Watanabe	2012	Phycologia	51: 675						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?137604
142339	AETOKTHONOS	S.B. Wilde & J.R. Johansen	2014	Phytotaxa	181: 247						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?142339
137484	AFROCYMBELLA	K. Krammer	2003	Diatoms of Europe	4: 129, 167						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?137484
100556	AGARDHINELLA	Gaillon	1833	Tabl. N&eacute;mazoaires:	[6]						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100556
157162	AGAROPHYTON	C.F.D. Gurgel, J.N. Norris & S. Fredericq	2018	Phytotaxa	374: 8						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?157162
133340	AGARUM	Bory	1826	Dict. Class. Hist. Nat.	9: 193		illegitimate	superfluous name			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?133340
133339	AGARUM	Dumortier	1822	Comment. Bot.:	102			nom. cons. vs. Agarum Link 1809, nom. rej.			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?133339
122480	AGGERICORONA	S. Komura	2006	Diatom	22: 2						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?122480
100613	AHNFELTIOPSIS	P.C. Silva & T.C. DeCew	1992	Phycologia	31: 576						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100613
144028	AILADINIUM	M. Saburova & N. Chom&eacute;rat	2014	J. Phycol.	50: 1121						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?144028
100625	AIORA	R.J. Davey	1978	Initial Rep. Deep Sea Drilling Project	40: 892		illegitimate	not Aiora I.C. Cookson & A. Eisenack 1960 (intended as emendation rather than new genus)			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100625
100626	AKALAPHYCUS	J.M. Huisman, I.A. Abbott, & A.R. Sherwood	2004	Eur. J. Phycol.	39: 270						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100626
100629	AKARYONTA	F. Nemejc	1959	Paleobotanika	1: 101						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100629
132296	AKARYONTA	Taubeneck	1949	Urania	12: 467 (footnote)						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?132296
100630	AKASHIWO	G. Hansen & &Oslash;. Moestrup	2000	Phycologia	39: 308						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100630
156911	ALBERTANIA	G. Zammit	2018	Phycologia	57: 483						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?156911
100676	ALGOIDEA	Batsch	1802	Tab. Affin. Regni Veg.:	267						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100676
100677	ALGOMYCETES	F. Nemejc	1959	Paleobotanika	1: 316						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100677
100679	ALGOPHYTAE	F. Nemejc	1959	Paleobotanika	1: 190						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100679
154720	ALIINOSTOC	S.N. Bagchi, N. Dubey & P. Singh	2017	International Journal of Systematic and Evolutionary Microbiology	67: 3306						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?154720
137859	ALINEA	H. Lange-Bertalot	2001	Diatoms of Europe	2: 223						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?137859
154684	ALITERELLA	J. Rigonato et al.	2016	International Journal of Systematic and Evolutionary Microbiology	66: 2859						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?154684
155441	ALKALINEMA	M.G.M.V. Vaz et al.	2015	International Journal of Systematic and Evolutionary Microbiology	65: 302						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?155441
100686	ALLEYNEA	H.B.S. Womersley	2003	Mar. Benth. Fl. S. Australia	3D: 216						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100686
123804	ALLOGONIUM	K&uuml;tzing	1843	Phycol. General.:	245						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?123804
156925	ALLORGEIA	Gauthier-Li&egrave;vre ex M.D. Guiry & P.F.M. Coesel	2018	Notulae algarum	75: 1						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?156925
101741	ALLOTRETA	Ehrenberg	1830	Iter Beitr.	xx			fide L. Agassiz, Nomencl. Zool., Polygastrica: 1. 1843			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101741
142676	ALTANA	M.S. Kulikovskiy, H. Lange-Bertalot, & D. Metzeltin	2012	Iconogr. Diatomol.	23: 38						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?142676
100692	ALVEOLATA	T. Cavalier-Smith	1998	Biol. Rev. Cambridge Philos. Soc.	73: 208, 253						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100692
137852	ALVEOLOPHORA	A.I. Moiseeva & T.L. Nevretdinova	1990	Bot. Zhurn.	75: 541						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?137852
132100	ALVEOVALLUM	H. Lange-Bertalot & K. Krammer	2000	Diatoms of Europe	1: 207, 240						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?132100
100694	ALVEUS	I. Kaczmarska & G.A. Fryxell	1996	Microscopy Res. & Techn.	33: 3						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100694
152675	ALVIKIA	Shin Watanabe & L.A. Lewis	2017	Phycologia	56: 344						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?152675
141934	AMALTHEA	R. D'Archino & W.A. Nelson	2014	Botanica Marina	57: 187						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?141934
157197	AMAZONINEMA	D.B. Genu&aacute;rio, W.R de Souza, R.T.R. Monteiro, C.L. Sant'Anna, & I.T.S. Melo	2018	Int. J. Syst. Evol. Microbiol.	68: 2255						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?157197
123598	AMBLYOPHIS	Ehrenberg	1831	Euglenophyta	Abh. K&ouml;nigl. Akad. Wiss. Berlin, Phys. Kl.						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?123598
100720	AMBLYPYRGUS	R. Gersonde & D.M. Harwood	1990	Proc. Ocean Drilling Program, Sci. Results	113: 369						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100720
101620	AMELIAPHYCUS	M.D. Muir	1976	Alcheringa	1: 153						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101620
101583	AMICULA	A. Witkowski, H. Lange-Bertalot, & D. Metzeltin	2000	Iconogr. Diatomol.	7: 127, 420						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101583
100721	AMICULOSPHAERA	R. Harland	1979	Initial Rep. Deep Sea Drilling Project	48: 535						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100721
142185	AMMASSOLINEA	P. Hasler, P. Dvor&aacute;k, A. Poul&iacute;ckov&aacute;, & D.A. Casamatta	2014	Fottea	14: 242						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?142185
133283	AMORPHOCHLORA	K. Ishida, A. Yabuki & S. Ota	2011	Phycol. Research	59: 52						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?133283
132304	AMORPHOTOCTISTA	Hogg	1860	Edinburgh New Philos. J., ser. 2,	12: 223						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?132304
132337	AMPHICERATIUM	Vanh&ouml;ffen	1896	Zool. Anz.	19: 133						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?132337
100733	AMPHICOCCONEIS	M. De Stefano & D. Marino	2003	Eur. J. Phycol.	38: 362						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100733
100735	AMPHIDINIELLA	T. Horiguchi	1995	Phycol. Res.	43: 93						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100735
159084	AMPHIHETEROCYTUM	C.L. Sant'Anna et al.	2018	Algal Research	37: 212						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?159084
100908	AMPHOROCHARA	L.K. Krasavina	1978	Bot. Zhurn.	63: 227						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100908
140458	AMPHOROTIA	D.M. Williams & G. Reid	2006	Diat. Monogr.	6: 41						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?140458
100976	ANABAINELLA	Gaillon	1833	Tabl. N&eacute;mazoaires:	[4]		illegitimate	unwarranted change of name		<500479>Anabaina Bory de Saint-Vincent 1822	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100976
100996	ANAEROMONADA	T. Cavalier-Smith	1998	Biol. Rev. Cambridge Philos. Soc.	73: 232						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?100996
155943	ANAGNOSTIDINEMA	O. Struneck&yacute;, M. Bohunick&aacute;, J.R. Johansen & J. Kom&aacute;rek	2017	Fottea	17: 119						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?155943
138663	ANATHECE	(G. Cronberg & J. Kom&aacute;rek) J. Kom&aacute;rek, Kastovsk&yacute; & Jezberov&aacute;	2011	Eur. J. Phycol.	46: 321					<>Aphanothece subgenus Anathece G. Cronberg & J. Komaacute;rek 1994	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?138663
101723	ANAXIS	(Ehrenberg) L. Agassiz	1843	Nomencl. Zool., Polygastrica:	2					<112498>Micrasterias [unranked] Anaxis Ehrenberg 1838	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101723
101002	ANCYLOPYRGUS	R. Gersonde & D.M. Harwood	1990	Proc. Ocean Drilling Program, Sci. Results	113: 370						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101002
143981	ANDERSENIA	R. Wetherbee & R.F. Waller	2015	Phycologia	54: 36						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?143981
101007	ANDREWSIELLA	T. Jurkschat	1997	Diatom Research	12: 244						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101007
101009	ANEUMASTUS	D.G. Mann & A.J. Stickle	1990	Diatoms:	464, 663						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101009
101705	ANEURIANNA	L.E. Phillips	2006	Cryptogamie: Algologie	27: 216						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101705
158413	ANGUSTICOPULA	V. Houk, R. Klee, & H. Tanaka	2017	Fottea, suppl.	17: 25						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?158413
101025	ANISOMONAS	R.W. Butcher	1959	Great Britain, Ministry Agr. Fish. & Food, Fish. Invest.,	Ser. IV, part I: 38						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101025
101027	ANKISTRODESMOPSIS	F. Lederer & J. Lukavsk&yacute;	1998	Arch. Hydrobiol. Suppl.	124 (Algol. Stud. 89): 40	ANKOSTRODESMOPSIS					http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101027
137577	ANKISTRODINIUM	M. Hoppenrath, S. Murray, S.F. Sparmann & B.S. Leander	2012	J. Phycol.	48: 1145						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?137577
101036	ANKYLOCHRYSIS	C. Billard	1984	Rech. Chrysoph. Marine:	25						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101036
101037	ANKYLOCHRYSIS	C. Billard	1995	Phycologia	34: 225						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101037
137827	ANNAMIA	L.T.T. Nguyen	2013	Phycologia	52: 34						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?137827
101045	ANNELLUS	Temp&egrave;re	1908	Diatom. Monde, ed. 2:	60						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101045
122475	ANNULARIUS	S. Komura	2005	Diatom	21: 31						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?122475
140738	ANSANELLA	H.J. Jeong, S.H. Jang, &Oslash;. Moestrup & N.S. Kang	2014	Algae	29: 78						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?140738
101136	ANTROSPHAERA	C.Q. He	1984	Acta Palaeontol. Sin.	23: 771, 774		illegitimate	not Antrosphaera W.A.S. Sarjeant 1961			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101136
132277	ANUCLEOBIONTA	W. Rothmaler	1949	Urania	12: 468						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?132277
149258	ANULOPLICATA	(Glezer) Glezer	1992	Diatoms USSR	2{2}: 61					<>Paralia sect. Anuloplicata Glezer 1990	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?149258
156194	ANULOPLICATA	Z.I. Glezer	1990	Bot. Zhurn.	75: 547						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?156194
101138	APATOCOCCUS	F. Brand	1925	Arch. Protistenk.	52: 348						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101138
101140	APEDINELLA	J. Throndsen	1971	Norweg. J. Bot.	18: 61						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101140
132295	APHANOBIONTA	Taubeneck	1949	Urania	12: 467 (footnote)						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?132295
132276	APHANOBIONTA	W. Rothmaler	1949	Urania	12: 468						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?132276
151570	APHANOCAPSA	N&auml;geli	1849	Gatt. Einzell. Alg.:	52						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?151570
101158	APHANOCAPSAOPSIS	P.K. Maithy & M. Shukla	1977	Palaeobotanist	23: 178						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101158
123903	APHANTA	E.M. Tronchin & D.W. Freshwater	2007	Phycologia	46: 329						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?123903
101177	APHYLLA	Batsch	1802	Tab. Affin. Regni Veg.:	269						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101177
134728	APIARIUM	Durant	1850	Alg. New York:	18			nom. rej. vs. Caloglossa (Harvey) Martens 1869, nom. cons.			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?134728
130177	APICOPORUS	S.F. Sparmann, B.S. Leander, & M. Hoppenrath	2008	Protist	159: 384			ICZN			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?130177
101726	APLOTELLA	(K&uuml;tzing) L. Agassiz	1843	Nomencl. Zool., Polygastrica:	2					<108602>Frustulia subg. Aplotella K&uuml;tzing 1834	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101726
151689	APOCALATHIUM	S.C. Craveiro, N. Daugbjerg, &Oslash;. Moestrup & A.J. Calado	2016	Phycologia	56: 32						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?151689
101180	APOGLOSSOCOLAX	C.A. Maggs & M.H. Hommersand	1993	Seaw. Brit. Isles	1{3A}: 206						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101180
155630	APOIKIA	E. Kim, N. Yubuki, B.S. Leander, & L.E. Graham	2010	Protist	161: 190						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?155630
101188	APPENINOCODIUM	O. Dragastan	1985	Paleoalgology:	127		invalid	place of publication of replaced name not fully cited		<116478>Pseudocodium A. Praturlon 1964 (illeg.)	http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101188
155183	APROBOLOCYSTA	S. Duxbury	1977	Palaeotographica, Abt. B, Pal&auml;ophytol.	160: 52						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?155183
122282	APTEROSOMA	S. Komura	1997	Diatom	13: 71						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?122282
101195	APUSOZOA	T. Cavalier-Smith	1998	Biol. Rev. Cambridge Philos. Soc.	73: 232						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101195
133341	ARACHNIDIUM	Sauter	1857	Alg. Sachs. [exsicc.]	61/62: no. 606						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?133341
155351	ARACHNOCHRYSIS	R.A. Andersen & K.Y. Han	2018	Protist	169: 80						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?155351
101199	ARACHNODINIUM	W. Van Hoven, F.M.C. Gilchrist, & V.L. Hamilton-Attwell	1987	J. Protozool.	34: 340						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101199
154439	ARACHNOIDISCUS	H. Deane ex G. Shadbolt	1852	Trans. Microscop. Soc. London	3: 49, pl. 11: fig. 1-5			nom. cons.			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?154439
122290	ARANISCUS	S. Komura	1998	Diatom	14: 8						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?122290
157042	ARCANODISCUS	N.I. Maidana & E.A. Morales	2018	Beih. Nova Hedwigia	146: 66						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?157042
101207	ARCHAEGLADIOPSIS	V.A. Nikolaev & D.M. Harwood	1997	Diatom Research	12: 52						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101207
135378	ARCHAEGONIOTHECIUM	J. Witkowski, D.M. Harwood & M. Kulikovskiy	2012	Beih. Nova Hedwigia	141: 387						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?135378
101560	ARCHAELEPIDODISCUS	V.A. Nikolaev & D.M. Harwood	2000	The origin and early evolution of the diatoms:	50		invalid	name only			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101560
101208	ARCHAEOAMPHIROA	E.R. Magathan	1985	Paleoalgology:	170		invalid	type not designated			http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101208
101231	ARCHEPYRGUS	R. Gersonde & D.M. Harwood	1990	Proc. Ocean Drilling Program, Sci. Results	113: 370						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101231
138691	ARCHESTENOGRAMMA	C.W. Schneider, T. Chengsupanimit & G.W. Saunders	2011	Eur. J. Phycol.	46: 447						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?138691
133977	ARCHIBALDIA	A. Witkowski & J.P. Kociolek	2011	Phycologia	50: 172						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?133977
140421	ARCUATASIGMA	G. Reid	2012	Diat. Monogr.	14: 89						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?140421
101742	ARDREANEMA	R.E. Norris & I.A. Abbott	1992	Pacific Sci.	46: 453						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101742
101589	ARISTOPTILON	M.H. Hommersand & W.A. Nelson	2006	J. Phycol.	42: 214						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?101589
154896	ARTHROGONIUM	A. Braun	1876	Alg. Europ.:	no. 2470						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?154896
121421	ARTHRONEMA	J. Kom&aacute;rek & J. Lukavsk&yacute;	1988	Arch. Hydrobiol. Suppl.	80 (Algol. Stud. 50-53): 266						http://ucjeps.berkeley.edu/cgi-bin/porp_cgi.pl?121421
