ID	year	source	details
r120936	1997	Biol. Morya (Vladivostok)	23: 81, figs. 1-3
r120937	1998	Algae	13: 421
r131956	2009	Algae of Ukraine	2: 267
r156789	1984	Trudy Geol. Inst. Akad. Nauk SSSR	385: 274
r156788	1991	Bot. Zhurn.	76: 744, figs. 5, 6, 8, 9 on pl.
r155270	1977	Palaeontographica, Abt. B, Pal&auml;ophytol.	160: 153, pl. 8: figs. 5-12
r122267	1996	Diatom	12: 46, figs. 9, 10, 39-48
r122268	1996	Diatom	12: 47, figs. 11, 12, 49-58
r152902	2017	Phytotaxa	306: 297
r152903	2017	Phytotaxa	306: 298
r132268	1807	Mag. Neusten Entdeck. Gesammten Naturk. Ges. Naturf. Freunde Berlin	1: 18
r135315	1990	J. Nat. Hist	24: 885, figs. 41(c)-(d), 42(c)
r154104	1910	KryptFl. Mark Brandenburg	3: 547, pl. XXIII: fig. 48 in Stein (Org. Infusionsthiere III(1). 1878)
r135316	1990	J. Nat. Hist	24: 886, figs. 41(b), 42(b)
r141660	1881	Ann. Mag. Nat. Hist., ser. 5,	6: 219
r141658	1999	Flora Algarum Sinicarum Aquae Dulcis. Tomus VI. Euglenophyta:	254, pl. VII: fig. 7
r141661	1999	Flora Algarum Sinicarum Aquae Dulcis. Tomus VI. Euglenophyta:	254, pl. VI: figs. 9, 10
r159200	1998	Bull. Bot. Research [Harbin]	18(1): 12, fig. 1-1
r159201	1998	Bull. Bot. Research [Harbin]	18(1): 12, fig. 1-2
r159203	1998	Bull. Bot. Research [Harbin]	18(1): 13, fig. 1-4
r149523	1931	Arch. Protistenk.	73: 204, fig. 3
r159202	1998	Bull. Bot. Research [Harbin]	18(1): 13, fig. 1-3
r149522	2015	Algae of Ukraine	4: 476
r135233	2012	J. Phycol.	48: 424, figs. 2-7
r120943	1908	Ann. Roy. Bot. Gard. Calcutta	6: 227, pl. XI: figs. 17-21
r120944	1941	Uchen. Zap. Kharkovsk. Derzh, Univ., Trudy Inst. Bot.	4: 5-9
r120945	1954	Oesterr. Bot. Z.	101: 70, fig. 2 a-d
r120946	2002	Phycologia	41: 299, figs. 2, 13
r120947	1977	K. Danske Vid. Selsk., Biol. Skr.	21{1}: 10, fig. 7
r120948	1992	Nordic J. Bot.	12: 507, figs. 1-13
r120949	1948	Symb. Bot. Upsal.	9{3}: 272, pl. XXX: figs. 16-18
r154925	1957	Rev. Alg., M&eacute;m. hors-s&eacute;r.	1: 155, pl. I: figs. 35-38 [text-fig. R8]
r120950	1951	Oesterr. Bot. Z.	98: 266, 274, fig. 3 h-k
r120951	1938	Bull. Mus. Roy. Hist. Nat. Belgique	14{42}: 1, figs. A-E, H, pls. I, II
r120952	1965	Vizn. Prisnovodn. Vodor. Ukrajns'k. SSR	3{1}: 233
r120953	1948	Symb. Bot. Upsal.	9{3}: 270, pl. XII: fig. 15
r120954	2002	Phycologia	41: 298
r120955	2002	Phycologia	41: 299, figs. 4, 8
r120956	2002	Phycologia	41: 299
r120957	2002	Phycologia	41: 302
r120960	2002	Phycologia	41: 301
r120963	1995	Syllabus der Boden-, Luft- und Flechtenalgen:	564
r120964	1985	BioSystems	18: 364
