ID	year	source	details
r100001	1985	Boll. Soc. Paleontol. Ital.	23: 167
r100002	1975	Bot. Zhurn.	60: 1686, fig. 7
r101745	1992	Ophelia	36: 70, figs. 35:11-15
r100003	1992	Proc. Ocean Drilling Program, Sci. Results	120: 318, pl. 1: figs. 3, 4
r100004	1992	Proc. Ocean Drilling Program, Sci. Results	120: 318, pl. 1: figs. 1, 2, 6
r124484	1809	M&eacute;moires de la Soci&eacute;t&eacute; Imp&eacute;riale des Naturalistes de Moscou	2: 81
r150628	1842	Linnaea	15: 739
r132390	1851	M&eacute;m. Acad. Imp. Sci. Saint-P&eacute;tersbourg, S&eacute;r. 6, Sci. Nat.	7{Bot.}: 48
r100007	1883	&Ouml;fvers. K. [Svenska] Vet.-Akad. F&ouml;rh.	40{2}: 62, pl. I: fig. 21
r124485	1853	Linnaea	25: 683
r124486	1867	Annales Musei Botanici Lugduno-Batavi	3: 258
r105484	1997	Arch. Protistenk.	148: 80, figs. 5j, 6-10
r105486	1997	Arch. Protistenk.	148: 85, figs. 5k, 15-17
r105485	1997	Arch. Protistenk.	148: 83, figs. 5i, 12, 14
r100008	1985	Boll. Soc. Paleontol. Ital.	23: 168, pl. 5: figs. 2, 5, 19; text-fig. 3
r100009	1985	Boll. Soc. Paleontol. Ital.	23: 170, pl. 5: figs. 20, 21; text-fig. 4
r100011	1985	Boll. Soc. Paleontol. Ital.	23: 174, pl. 5: fig. 8; text-fig. 5
r100010	1985	Boll. Soc. Paleontol. Ital.	23: 174, pl. 5: figs. 10, 14; text-fig. 6
r149000	1994	Aarhus Geosci.	1: 108, pl. 11: figs. 7, 8
r100012	2001	Occas. Pap. Calif. Acad. Sci.	152: 24
r100014	1941	Ann. Naturhist. Mus. Wien	51: 76, 133, pl. I: figs. 1, 2
r100015	1992	Scripta Geol.	100: 23, pl. 2: figs. 3-6
r100016	1945	Rech. Flag. Calc. Alger:	7, pl. I: figs. 1, 1a, 1b, 1c
r100017	1951	Ann. Inst. Oc&eacute;anogr. [Monaco], ser. 2,	26: 269, fig. 6
r131968	1846	&Ouml;fvers. Kongl. [Svenska] Vetensk.-Akad. F&ouml;rh.	3: 104
r100018	1999	Phycologia	38: 539
r151635	1892	Icon. Fl. Jap.	1: 157, pl. XXXIX
r100019	2003	Phycol. Res.	51: 260, figs. 1-23
r150144	1859	Fl. Tasman.	2: 296
r124487	1830	Alg. Brit.:	liv
r124488	1855	Trans. R. Irish Acad.	22(Science): 538
r124489	1828	Voy. Coquille:	156
r124490	1968	Israel Journal of Botany	17: 96
r124491	1863	Sp. Alg.:	2: 820
r124492	1879	Baron Carl Claus von der Decken's Reisen in Ost-Afrika in den Jahren 1859-1865. Wissenschaftlicher Theil. Dritter Band. Dritte Abtheilung. Botanik:	3, 81
r124493	1910	Bot. Tidsskr.	30: 201
r124494	1923	Siboga-Exped. Monogr.	59c: 348
r124495	1956	Indo-Pacific Fisheries Council [FAO], Special Publications	3: 25
r124496	1813	Ann. Mus. Hist. Nat. [Paris]	20: 132
r124497	1863	Sp. Alg.:	2: 821
r158423	2018	Europ. J. Phycol.	54: 9
r158920	2019	Phytotaxa	395: 56
r100024	2003	J. Phycol.	39: 1249
r124498	1952	Univ. Calif. Publ. Bot.	25: 255
r124499	1824	Voyage autour du monde ... ex&eacute;cut&eacute; sur les corvettes de S.M. l'Uranie et la Physicienne, pendant les ann&eacute;es 1817, 1818, 1819 et 1820:	621, pl. 90: figs. 6, 7
r100025	1934	J. Fac. Sci. Hokkaido Imp. Univ., Ser. V, Bot.	3: 57, figs. 24, 25
r124500	1816	Histoire des polypiers corallig&egrave;nes flexibles, vulgairement nomm&eacute;s zoophytes:	249, pl. VIII: fig. 1
r124501	1936	Ceylon Journal of Science, Botany	12: 65, fig. 2
r124502	1895	Trans. Linn. Soc. London, Bot.	5: 22-24, pl. 1: fig. 11
r100026	1895	Trans. Linn. Soc. London, Bot.	5: 28, pl. 2: figs. 1, 4
r132174	1821	Expos. M&eacute;th. Polyp.:	19
r124503	1887	Alg. Syst.	23{2}: 171, pl. V: figs. 6-13
r124504	1868	Die Preussische Expedition nach Ost-Asien. Nach amtlichen Quellen. Botanischer Theil:	25, pl. IV: fig. 3
r124505	1816	Hist. Polyp.:	249
r146783	1887	Ann. K.K. Naturhist. Hofmus. [Wien]	2: 79, figs. 1-3
r124506	1895	Trans. Linn. Soc. London, Bot.	5: 30, pl. 4: fig. 1
r100027	1965	Arq. Esta&cedil;. Biol. Mar. Univ. Cearaacute;	5: 80, pl. II
r100028	1895	Trans. Linn. Soc. London , Bot.	3: 29, pl. 2: figs. 3, 5
r124507	1895	Trans. Linn. Soc. London, Bot.	5: 27
r124508	1895	Trans. Linn. Soc. London, Bot.	5: 28
r100029	1865	Alg. Guadeloupe:	42
r124509	1909	Tufts Coll. Stud. (Sci.)	2: 379
r124510	1930	&Ouml;sterr. Bot. Z.	79: 338, figs. 1-4
r132169	1891	Rev. Gen. Pl.	2: 881
r132191	1816	Hist. Nat. Anim. Sans Vert.	2: 151
r132173	1816	Hist. Nat. Anim. Sans Vert.	2: 150
r100031	1909	Bull. Torrey Bot. Club	36: 92, pl. 6: fig. 21; pl. 7: fig. 10
r100032	1909	Bull. Torrey Bot. Club	36: 89, pl. 6: figs. 13-15; pl. 7: figs. 1-4
r101607	1833	Syn. N&eacute;mazoaires:	10 [Aper&cedil;u Hist. Nat.: 34]
r101650	1997	Arch. Protistenk.	148: 206
r101631	1997	Arch. Protistenk.	148: 208
r101661	1997	Arch. Protistenk.	148: 207
r101670	1997	Arch. Protistenk.	148: 201, 207
r123286	1921	Deux. Exp&eacute;d. Antarct. Fran&cedil;. (1908-1910)... Charcot, Diatom&eacute;es:	50, pl. II: fig. 1
r123288	1921	Deux. Exp&eacute;d. Antarct. Fran&cedil;. (1908-1910)...Charcot, Diatom&eacute;es:	12, pl. I: figs. 20-22
r100034	1955	M&eacute;m. Inst. Sci. Madagascar, S&eacute;r. B, Biol. V&eacute;g.	5: 19, pl. I: fig. 10
r101574	1955	M&eacute;m. Inst. Sci. Madagascar, S&eacute;r. B, Biol. V&eacute;g.	5: 19, pl. I: fig. 11
r146978	1963	Trans. Amer. Microscop. Soc.	82: 273, pl. I: figs. 27, 28
r137203	1996	Iconogr. Diatomol.	2: 22, pl. 21: figs. 22-24; pl. 113: figs. 1-7
r135458	2012	Diatom Res.	27: 81
r135459	1960	Kieler Meeresf.	16: 127, pl. 1: figs. 8, 9
r101604	1822	Dict. Class. Hist. Nat.	1: 79, pl. Arthrodi&eacute;es: fig. 2
r100035	1880	K. Svenska Vet.-Akad. Handl., ser. 4,	17{2}: 20
r143060	1996	Iconogr. Diatomol.	2: 24
r152710	1953	K. Svenska Vet.-Akad. Handl., ser. 4,	4{5}: 48
r100037	1989	Diatom Res.	4: 233, figs. 10-14, 70-74
r100038	1993	Biblioth. Diatomol.	27: 2
r100039	1952	Bot. Not.	1952: 386, figs. 66, 67
r138315	1985	Acta Palaeobotanica	25: 38, pl. I: fig. 47; pl. II: fig. 3-5
r100040	1859	Quart. J. Microscop. Sci.	7: 163, pl. VIII: fig. 9
r100041	1981	Nova Hedwigia	33: 529, pl. 2: fig. 8; pl. 24: fig. 5
r155668	1934	Rev. Mus. La Plata	34: 347, pl. I: figs. 1-3
r100042	1989	Biblioth. Diatomol.	18: 23, pl. 64: figs. 7-16; pl. 66: figs. 8-11
r137121	1942	Internat. Rev. Ges. Hydrobiol.	42: 38, figs. 44-48
r100043	1955	M&eacute;m. Inst. Sci. Madagascar, S&eacute;r. B, Biol. V&eacute;g.	5: 19, pl. II: fig. 16
r101699	1987	Atlas & Cat. Diat. Types Hustedt:	230, pl. 335: figs. 26-34
r158975	2019	Notulae algarum	92: 1
r138508	1966	Nova Hedwigia	11: 444, pl. 60(1): figs. 15, 16, 19, 20
r153739	1937	Arch. Hydrobiol. Suppl.	15: 194, pl. XIII: figs. 33-36
r101632	1949	Ann. Acad. Sci. Fenn., Ser. A, Biol.	14: 77, fig. 3
r100044	1922	Int. Rev. Hydrobiol. u. Hydrogr.	10: 233, pl. III: figs. 6, 7
r100045	1933	Rabenhorst's Kryptog.-Fl.	7{2}: 385, fig. 831 g-k
r145171	1973	Fragm. Floristic. Geobot.	19: 499, fig. 25, pl. 1: figs. 19-22
r100046	1989	Biblioth. Diatomol.	18: 25
r100047	1928	Trudy Sungar. Rech. Biol. Stants. [Obshch. Izuch. Man'chzh. Kraya, Kharbin]	1{5}: 10, pl. I: fig. 21
r152713	1953	Rev. Mus. La Plata, n.s. Bot.	8: 68
r100048	1998	Fresh-water Diatoms Central Gujarat:	284, pl. 1: figs. 1-3; pl. 3: figs. 1-4
r100049	1998	Fresh-water Diatoms Central Gujarat:	286, pl. 1: figs. 4-6; pl. 3: figs. 5-7
r135563	1996	Cryptogamie: Algologie	17: 177
r135662	1961	Rev. Alg. n.s.	5: 271, pl. I(26): figs. 18, 19
r100050	1880	K. Svenska Vet.-Akad. Handl., ser. 4,	17{2}: 22
r100051	1880	Syn. Diat. Belgique:	pl. XXVII: figs. 27, 28
r155651	1936	Rev. Mus. La Plata, n.s. 1. Secc. Paleontolog&iacute;a	1: 19, 31, pl. I: figs. 37, 38
r100052	1989	Biblioth. Diatomol.	18: 28, pl. 57: fig. 8; pl. 59: figs. 1-11'
r100053	1989	Biblioth. Diatomol.	18: 29
r144490	1952	Bot. Not.	1952: 386, figs. 68-71
r155339	1967	Cat. Diat.	1: 10, 67
r100054	1958	Bull. Soc. Bot. France	104(suppl.): 85, fig. 21
r100055	1963	Trans. Amer. Microscop. Soc.	82: 273, pl. II: figs. 5, 6
r100057	1995	Biblioth. Diatomol.	32: 33, pl. 1: figs. 1-6
r100056	1979	Cah. O.R.S.T.O.M., S&eacute;r. Hydrobiol.	12: 149, pl. I: fig. 11
r123285	1958	Publ. Inst. Antaacute;rt. Argent.	5: 79
r100058	1989	Biblioth. Diatomol.	18: 30, pl. 85: figs. 11-14; pl. 91: fig. 2
r100059	1998	Iconographia Diatomologica	5: 18, pl. 69: figs. 9-14; pl. 70: figs. 1, 4
r136546	1955	M&eacute;m. Inst. Sci. Madagascar, S&eacute;r. B, Biol. V&eacute;g.	5: 19, pl. II: fig. 20
r100060	1918	Bot. Iceland	2: 41, pl. IV: fig. 60
r100061	1989	Biblioth. Diatomol.	18: 31, pl. 76: figs. 11, 12
r100062	1989	Biblioth. Diatomol.	18: 33
r101605	1824	Syst. Alg.:	1
r122455	1895	Kongl. Svenska Vetensk.-Akad. Handl, ser. 4,	27{3}: 193
r158457	1834	Linnaea	8: 575, pl. 16: fig. 57
r122139	1955	Meddel. Gr&oslash;nland	128{7}: 39, pl. IV: figs. 10, 11
r100063	1966	Beih. Nova Hedwigia	21: 6, pl. 1: figs. 1-3
r100064	1989	Biblioth. Diatomol.	18: 34, pl. 71: figs. 15-29; pl. 72: figs. 2-5
r153217	1930	Rev. Chilena Hist. Nat.	34: 199, fig. 35-2
r100065	1891	Acta Soc. Fauna et Flora Fenn.	8{2}: 51, pl. III: fig. 8
r101546	1994	Biblioth. Diatomol.	29: 95
r140379	1952	Bot. Not.	1952: 389, figs. 87-90
r100066	1989	Biblioth. Diatomol.	18: 36, pl. 36: figs. 32-34; pl. 38: figs. 1-4
r100067	1833	Brit. Fl.	2{1}: 404
r100068	1989	Biblioth. Diatomol.	18: 37
r134269	1959	Preslia	31: 35, pl. VIII
r101633	1927	Arch. Hydrobiol.	18: 238, pl. VII: figs. 3, 4
r137205	1963	Transact. Amer. Micr. Soc.	82: 273, fig. 2: figs. 1, 2
r100069	1880	K. Svenska Vet.-Akad. Handl., ser. 4,	17{2}: 21
r100070	1880	Syn. Diat. Belgique:	pl. XXVII: figs. 5-7
r140501	1945	Arch. Hydrobiol.	40: 908, pl. XXXIX: figs. 38, 39
r140500	1945	Arch. Hydrobiol.	40: 908, pl. XXXIX: figs. 34-37
r133195	1891	Acta Soc. Fauna et Flora Fenn.	8{2}: 52, pl. III: 4, 5
r100071	1930	S&uuml;ssw.-Fl.	10, 2. Aufl.: 204, fig. 295
r100072	1880	Syn. Diat. Belgique:	expl. pl. XXVI: fig. 17
r140588	1949	Hydrobiologia	2: 43, pl. 1: figs. 6, 7
r100073	1987	Atlas Cat. Diat. Types Fr. Hustedt:	342
r136547	1955	M&eacute;m. Inst. Sci. Madagascar, S&eacute;r. B, Biol. V&eacute;g.	5: 20, pl. I: fig. 12
r136548	1955	M&eacute;m. Inst. Sci. Madagascar, S&eacute;r. B, Biol. V&eacute;g.	5: 20, pl. I: fig. 13
r100074	1919	Kryptog. Forsch.	1: 198, 212, pl. VI: figs. 9, 10
r100075	1995	Biblioth. Diatomol.	32: 34, pl. 5
r100076	1986	Diatom	2: 84, figs. 1-17, 37-43, 51-54
r100077	1965	J. Jap. Bot.	40: 348, pl. XII: fig. 5
r100078	1964	Bull. Chichibu Mus. Nat. Hist.	12: 68, pl. 11: fig. 21
r100079	1866	Trans. Bot. Soc. Edinburgh	8: 438, pl. VI: figs. 8-10
r101572	1937	Arch. Hydrobiol. Suppl.	15: 194, pl. XIII: figs. 37-40
r100080	1963	J. Quekett Microscop. Club	29: 200, fig. 3
r134707	1928	Deutsche S&uuml;dpolar-Exped. 1901-1903,	8: 580, pl. 5(35): figs. 106, 106a
r100081	1989	Biblioth. Diatomol.	18: 43, pl. 19: figs. 27-32; pl. 25: figs. 1-6; pl. 95: figs. 1-13
r101634	1962	Danm. Geol. Unders., II Raekke,	84: 14, pl. I: fig. 10
r138441	1966	Not. Nat. Acad. Nat. Sci. Philadelphia	397: 2, pl. 1: figs. 2-5
r100082	1966	Monogr. Acad. Nat. Sci. Philadelphia	13: 256, pl. 16: figs. 18-20
r100083	1984	Nova Hedwigia	39: 468, figs. 1-5
r135461	1959	Kieler Meeresf.	15: 75, pl. 10: figs. 8-13
r100084	1880	Syn. Diat. Belgique:	expl. pl. XXVII: fig. 3
r100085	1993	Biblioth. Diatomol.	27: 3
r100086	1991	S&uuml;sswasserfl. Mitteleuropa	2{4}: 72
r100087	1989	Biblioth. Diatomol.	18: 46
r101527	1955	M&eacute;m. Inst. Sci. Madagascar, S&eacute;r. B, Biol. V&eacute;g.	5: 20, pl. II: fig. 18
r101645	1934	Abh. u. Vortr. Bremer Wiss. Ges.	8/9: 378, figs. 1, 2
r100088	1933	Rabenhorst's Krypt.-Fl., ed. 2,	7{2}: 417
r146979	1963	Trans. Amer. Microscop. Soc.	82: 274, pl. II: figs. 7, 8
r122137	1981	Biblioth. Phycol.	53: 45, pl. XI: figs. 13, 14; pl. XII: figs. 17, 18
r100089	1933	Rabenhorst's Krypt.-Fl.	7{2}: 405, fig. 857
r100090	1954	Abh. Naturw. Ver. Bremen	33: 451, figs. 11, 12
r151598	1828	M&eacute;m. Mus. Hist. Nat. [Paris]	16: 313, pl. 13: fig. 12
r135462	2012	Diatom Res.	27: 82
r135463	1959	Kieler Meeresf.	15: 76, pl. 10: figs. 4-7
r140384	1891	Acta Soc. Fauna et Flora Fenn.	8{2}: 52, pl. III: figs. 2, 3
r159081	1953	K. Svenska Vet.-Akad. Handl., ser. 4,	4(4/5): 69
r101635	1954	Hydrobiologia	6: 32, pl. I: fig. 2
r154438	1953	Kongl. Svenska Vet. Akad. Handl., ser. 4,	5{4}: 47, fig. 588
r100091	1989	Biblioth. Diatomol.	18: 49, pl. 38: figs. 5-7; pl. 74: figs. 10-12
r100092	1971	Phycologia	10: 79, fig. 2 A-C
r100093	1934	Soc. Sci. Fenn., Comment. Biol.	4{14}: 38, fig. 40
r153446	2017	Botanica Marina	60: 305, figs. 1-52
r100094	1955	Ber. Deutsch. Bot. Ges.	68: 16, figs. 1-8
r137077	1964	Troms&ouml; Museums Skrifter	11: 68, pl. III: figs. 5a, b
r146992	2014	Biblioth. Diatomol.	60: 14, pl. 20: figs. 1-6; pl. 67
r137132	1996	Iconogr. Diatomol.	2: 25, pl. 78: figs. 29-38
r100097	1880	Syn. Diat. Belgique:	expl. pl. XXVII: fig. 29
r100095	1939	Arch. Hydrobiol.	35: 371, pl. XI; figs. 5, 6
r100096	1954	Cat. Inst. Fran&cedil;. Afrique Noire	12: 32, figs. 2/3c,i,j
r100098	1989	Biblioth. Diatomol.	18: 53
r100099	1923	Bot. Arch.	3: 193, figs. 9a, 9b
r130266	2009	Diatom Research	24: 333, figs. 31-54
r137078	1964	Troms&ouml; Museums Skrifter	11: 68, pl. III: figs. 3a, b
r100100	1880	Diat. Alpes:	30, pl. III: fig. 26
r100101	1978	Bot. Not.	131: 407, fig. 1
r100102	1989	Biblioth. Diatomol.	18: 57, pl. 88: figs. 1-7
r100103	1924	Dansk Bot. Ark.	4{5}: 18, fig. 6
r100104	1989	Biblioth. Diatomol.	18: 58, pl. 86: figs. 1-15'; pl. 91: figs. 6, 7
r100105	1937	A. Schmidt's Atlas Diatom.-Kunde:	pl. 409: figs. 30-33
r100106	1970	Beih. Nova Hedwigia	31: 608, pl. 1: figs. 19, 20
r151517	1890	Int. Polarforsch. 1882-1883, Deutsch. Exped. Ergebn.	2: 431, no fig.
r136549	1955	M&eacute;m. Inst. Sci. Madagascar, S&eacute;r. B, Biol. V&eacute;g.	5: 20, pl. II: fig. 19
r100107	1953	Arch. Hydrobiol.	48: 148, figs. 14-19
r100108	1880	Syn. Diat. Belgique:	pl. XXVII: figs. 47-49
r149404	1880	Kongl. Svenska Vetensk.-Akad. Handl., ser. 4,	17{2}: 22, no fig.
r149402	1895	Kongl. Svenska Vetensk.-Akad. Handl., ser. 4,	27{3}: 184
r100109	2003 ('2002')	Iconogr. Diatomol.	11: 16, pls. 11-13, 14: fig. 1, 15, 16: figs. 2, 4
r139824	1927	Arch. Hydrobiol.	18: 161, pl. V: fig. 10, 11
r101646	1963	Trans. Amer. Microscop. Soc.	82: 274, pl. II: figs. 9, 10
r100110	1859	Quart. J. Microscop. Sci.	7: 84, pl. VI: figs. 13, 14
r158691	1925	Abh. Ver. Naturk. Cassel	56: 30, pl. I: fig. 10
r100111	1975	Ergebn. Wiss. Untersuch. Schweiz. Nationalparks	14: 303, pl. 7: figs. 7-20
r143633	2005	J. Jap. Bot.	80: 7
r143655	1966	Not. Nat. Nat. Sci. Philadelphia	397: 4, pl. 1: figs. 10, 11.
r100112	1880	Kongl. Svenska Vetensk.-Akad. Handl., ser. 4,	17{2}: 21
r101701	1987	Atlas & Cat. Diat. Types Hustedt:	231, pl. 336: fig. 19
r143556	1939	Unknown source	1939: 189, pl. 3
r100114	1930	S&uuml;ssw.-Fl.	10, ed. 2: 202
r100113	1926	Bot. Arch.	13: 191, fig. 40
r100115	1880	Syn. Diat. Belgique:	pl. XXVII: figs. 14, 15
r101636	1881	Magyar N&ouml;v&eacute;nyt. Lapok	5: 20
r140386	1926	Bot. Arch.	13: 190, fig. 36
r100116	1989	Biblioth. Diatomol.	18: 63
r100117	1989	Diatom Res.	4: 235, figs. 26-30, 65-69
r100118	1989	Diatom Res.	4: 235, figs. 19-25, 76-79
r100119	1933	Ostenia [Estud. Bot. Regi&oacute;n Uruguaya 13]:	128, figs. 6-8
r101637	1880	Kongl. Svenska Vetensk.-Akad. Handl., ser.4,	17{2}: 23
r135564	1996	Cryptogamie: Algologie	17: 178
r135663	1961	Rev. Alg. n.s.	5: 271, pl. I(26): figs. 24-26
r100120	1989	Biblioth. Diatomol.	18: 64
r101638	1882	&Ouml;fvers. F&ouml;rh. Kongl. [Svenska] Vetensk.-Akad.	38{10}: 13, pl. 16: figs. 6, 7
r100121	1880	Syn. Diat. Belgique:	pl. XXVII: figs. 25, 26
r100122	1880	Syn. Diat. Belgique:	pl. XXVII: figs. 1, 2
r100123	1966	Monogr. Acad. Nat. Sci. Philadelphia	13: 264
r100124	1996	Iconographia diatomologica	4: 12, pl. 50: figs. 13-19; pl. 75: figs. 2, 6, 8
r135780	1958	A. Schmidt's Atlas Diatom.-Kunde:	pl. 420, figs. 20-23
r100125	1978	Nova Hedwigia	30: 564, pl. I: figs. 1-5
r100126	1989	Biblioth. Diatomol.	18: 67, pl. 74: figs. 1-6
r100127	1989	Biblioth. Diatomol.	18: 68, pl. 74: figs. 7-9; pl. 75: figs. 2-4
r141740	1838	Infusionsthierchen:	229, no fig.
r136550	1939	Arch. Hydrobiol.	35: 370, pl. XI: figs. 1, 2
r152825	1911	Denkschr. K. Akad. Wiss. [Wien], Math.-Nat. Kl.	88: 6, pl. II: fig. 2 [printed I in error]
r100128	1998	Biblioth. Diatomol.	38: 82, pl. 18: figs. 10-14
r133343	1895	Kongl. Svenska Vetensk.-Akad. Handl., ser. 4,	27{3}: 193
r101575	2005	Iconogr. Diatomol.	15: 22, pl. 26; pl. 27: figs. 1, 2
r100129	1989	Biblioth. Diatomol.	18: 70, pl. 73: fig. 6; pl. 74: figs. 13-18'
r122454	1833	Alg. Aq. Dulc. Germ.	3: [3]
r100130	1966	Nova Hedwigia	11: 445, pl. 60(1): figs. 23-28; pl. 67(8): figs. 13, 14
r100131	1949	Ann. G&eacute;ol. Service des Mines	18: 98, pl. III: figs. 46a,b
r101529	1985	Biblioth. Diatomol.	7: 25, pl. 5: figs. 13, 14; pl. 35: figs. 6, 7
r100132	1996	Icon. Diatomol.	4: 12, pl. 50: figs. 5-9, 22, 23; pl. 75: figs. 4, 9 [9 not cited in text]
r100135	1986	Diatom	2: 86, figs. 19-35, 44-50, 55-58
r100133	1965	J. Jap. Bot.	40: 347, pl. XII: fig. 4
r100134	1964	Bull. Chichibu Mus. Nat. Hist.	12: 68, pl. 11: fig. 19
r145609	1880	K. Svenska Vet.-Akad. Handl., ser. 4,	17{2}: 18, no fig.
r101568	1932	Kieselalg. Asien:	40, pl. 14: fig. 113
r100136	1989	Biblioth. Diatomol.	18: 72
r101639	1903	Diat. Foss. Auvergne	2: 5, pl. XI: figs. 26, 27
r136970	1960	&Ouml;sterr. Bot. Z.	107: 351, fig. 1: 1-4
r135464	1959	Kieler Meeresf.	15: 76, pl. 10: figs. 18-21
r100138	1998	Biblioth. Diatomol.	38: 84, pl. 19: figs. 1-6
r100137	1998	Biblioth. Diatomol.	38: 84, pl. 19: figs. 7-11
r150863	2016	European Journal of Taxonomy	217: 3, figs. 1-24
r100139	1930	S&uuml;ssw.-Fl., ed. 2,	10: 204, fig. 279
r154148	1954	Bot. Not.	1954: 271, figs. 5-10
r100140	1989	Biblioth. Diatomol.	18: 74, pl. 55: figs. 13-21; pl. 62: figs. 6-8
r100141	1986	Proc. Int. Diatom Symp.	8: 261
r150640	1950	Arch. Hydrobiol.	43: 345, pl. 409: figs. 44-51 in A. Schmidt's Atlas
r122135	1943	Ber. Deutsch. Bot. Ges.	61: 84, figs. 3-7
r101579	1924	Meddel. Gr&oslash;nland	64: 316, fig. 6
r137079	1964	Troms&ouml; Museums Skrifter	11: 70, pl. III: figs. 2a, b
r134254	1966	Monogr. Acad. Nat. Sci. Philadelphia	14: 468, pl. 1: figs. 5-6
r100142	1989	Biblioth. Diatomol.	18: 79, pl. 36: 27-30; pl. 37: figs. 1-4
r135664	1961	Rev. Alg. n.s.	5: 272, pl. I(26): figs. 27, 28
r100143	1989	Biblioth. Diatomol.	18: 80
r100144	1910	Danske Diat.:	130, pl. III: fig. 80
r144473	1990	J. Paleolimnol.	3: 60
r100145	1989	Biblioth. Diatomol.	18: 82
r100148	1989	Biblioth. Diatomol.	18: 83
r100149	1880	Syn. Diat. Belgique:	expl. pl. XXVII: fig. 8
r152714	1928	Trudy Sungar. Rech. Biol. Stants. [Obshch. Izuch. Man'chzh. Kraya, Kharbin]	1{5}: 9, pl. I: fig. 16
r100150	1926	Bot. Arch.	13: 191, fig. 42
r153708	1917	Denkschr. K. Bayer. Bot. Ges.	13: 26, pl. II: fig. 23
r153709	1917	Denkschr. K. Bayer. Bot. Ges.	13: 26, pl. II: fig. 27
r100152	1991	S&uuml;sswasserfl. Mitteleuropa	2{4}: 80
r100154	1991	S&uuml;sswasserfl. Mitteleuropa	2{4}: 78
r100156	1991	S&uuml;sswasserfl. Mitteleuropa	2{4}: 76
r100157	1993	Biblioth. Diatomol.	27: 4, pl. 44: figs. 1-3, 15-23 & pl. 45: fig. 18 in H. Ettl et al. (eds.), S&uuml;sswasserfl. Mitteleuropa 2{4}: 78 (1991)
r100158	1991	S&uuml;sswasserfl. Mitteleuropa	2{4}: 78, pl. 44: figs. 1-38; pl. 45: fig. 18
r100159	1993	Biblioth. Diatomol.	27: 6
r100162	1991	S&uuml;sswasserfl. Mitteleuropa	2{4}: 79
r143665	1966	Not. Nat. Nat. Sci. Philadelphia	397: 3, pl. 1: figs. 6-9
r100165	1945	Farlowia	2: 167, pl. I: figs. 4, 5
r152715	1941	Rev. Mus. La Plata, n.s. Bot.	3: 237
r100166	1950	Arch. Hydrobiol.	43: 394, pl. XXXVI: fig. 1, 2
r100167	1989	Biblioth. Diatomol.	18: 85
r100168	1880	Kongl. Svenska Vetensk.-Akad. Handl., ser. 4,	17{2}: 23
r100169	1880	Syn. Diat. Belgique:	pl. XXVII: figs. 12, 13
r100170	1891	Acta Soc. Fauna et Flora Fenn.	8{2}: 51, pl. III: figs. 10, 11
r100171	1993	Biblioth. Diatomol.	27: 4, pl. 44: figs. 1-3, 15-23 & pl. 45: fig. 18 in H. Ettl et al. (eds.), S&uuml;sswasserfl. Mitteleuropa 2{3}: 78 (1991)
r100173	1989	Biblioth. Diatomol.	18: expl. pl. 86: figs. 1-15' & pl. 91: figs. 6, 7
r100176	1993	Biblioth. Diatomol.	27: 4
r101642	1938	Arch. Hydrobiol.	33: 513
r100178	1922	Acta Forest. Fenn.	22{4}: 53, fig. 1
r100179	1966	Monogr. Acad. Nat. Sci. Philadelphia	13: 272, pl. 18: figs. 16, 17
r155126	1966	Nova Hedwigia	11: 100, pl. 12(2): figs. 49-51
r100180	1937	Arch. Hydrobiol. Suppl.	15: 202, pl. XIII: figs. 47-49
r100181	1911	Abh. Naturw. Ver. Bremen	20: 279, pl. III: fig. 34
r100182	1993	Biblioth. Diatomol.	27: 5
r133174	1914	Arch. Hydrobiol. u. Planktonk.	10: 64, pl. II: fig. 32
r100183	1958	Trans. Amer. Microscop. Soc.	77: 115, pl. II: figs. 18, 19
r122387	1929	Bot. Arch.	27: 350, fig. 9
r100184	1939	Arch. Hydrobiol.	35: 372
r100185	1989	Biblioth. Diatomol.	18: 93
r100186	1989	Biblioth. Diatomol.	18: 92
r138316	1985	Acta Palaeobotanica	25: 41, pl. I: fig. 36, 37, 46
r100187	1933	Rabenhorst's Krypt.-Fl.	7{2}: 401, fig. 852 d-f
r152711	1933	Rabenhorst's Krypt.-Fl. Deutschl., 2.Aufl.,	7{2}: 414
r148870	1942	Int. Rev. Gesamten Hydrobiol.	42: 36, fig. 38-43
r100189	1933	Rabenhorst's Krypt.-Fl.	7{2}: 392, fig. 840
r100190	1950	Arch. Hydrobiol.	43: 394, pl. XXXVI: figs. 3-9
r100191	1933	Rabenhorst's Krypt.-Fl.	7{2}: 390, fig. 837
r101582	2000	Iconogr. Diatomol.	7: 92, 420, pl. 50: figs. 1-12
r144514	1995	Iheringia	46: 81, figs. 109-111
r100192	1933	Rabenhorst's Krypt.-Fl.	7{2}: 404, fig. 856
r100193	1933	Rabenhorst's Krypt.-Fl.	7{2}: 404, fig. 856B
r140389	1881	Botan. Centralbl.	5: 68, no fig.
r100194	1993	Biblioth. Diatomol.	27: 7, pl. 37: figs. 19-23 in H. Lange-Bertalot, S&uuml;sswasserfl. Mitteleur. 2{4} (1991)
r100195	1880	Syn. Diat. Belgique:	expl. pl. XXVII: fig. 31
r100196	1880	Syn. Diat. Belgique:	expl. pl. XXVII: fig. 24
r101640	1939	Abh. Naturwiss. Vereine Bremen	31: 607, figs. 28-32
