nameID	relatedNameID	type
100507	106591	basionym
146177	146178	basionym
148015	148014	basionym
100508	114656	basionym
100509	114656	basionym
152442	154487	basionym
152441	153210	basionym
146179	146180	basionym
146179	146179-alt	spelling correction
146182	146183	basionym
152443	146181	basionym
146185	146186	basionym
100510	114657	basionym
152445	152444	basionym
100512	118779	basionym
152448	152446	basionym
152450	152451	basionym
121503	121500	basionym
100514	100514-alt	spelling correction
100515	104438	basionym
121497	121498	basionym
121499	121500	basionym
101648	105532	basionym
152453	154524	basionym
147953	147954	basionym
147956	147955	basionym
100516	104468	basionym
100517	104509	basionym
152449	617334	basionym
154203	154202	basionym
148078	148079	basionym
152454	617483	basionym
152455	154544	basionym
146187	146188	basionym
100518	104076	basionym
152457	152458	basionym
152456	152458	basionym
100519	104526	basionym
100519	100519-alt	spelling correction
124578	126783	basionym
124579	126944	basionym
100522	114458	basionym
100523	114459	basionym
100525	111062	basionym
151624	151625	basionym
138840	119606	basionym
138841	138842	basionym
138845	119605	basionym
151626	151598	basionym
138843	105643	basionym
138836	117962	basionym
151921	151602	basionym
151627	138833	basionym
138838	138839	basionym
151628	151605	basionym
138846	138847	basionym
151629	132645	basionym
151630	138842	basionym
101528	118001	basionym
151633	132647	basionym
151631	151632	basionym
100527	107840	basionym
100528	111057	basionym
100529	111056	basionym
100532	100532-alt	spelling correction
100533	103045	basionym
124581	103045	basionym
156258	101295	basionym
100538	103564	basionym
124582	124810	basionym
100540	113006	basionym
152893	152894	basionym
137642	599550	basionym
100541	112593	basionym
138124	113956	basionym
136560	135748	basionym
152895	152896	basionym
155605	155606	basionym
122778	112684	basionym
100545	112889	basionym
100546	112905	basionym
100547	135638	basionym
100548	113227	basionym
100549	113127	basionym
150110	574322	basionym
147783	147784	basionym
124583	105183	basionym
147785	147786	basionym
131990	125979	basionym
151992	151991	basionym
101598	105339	basionym
124584	125847	basionym
135451	125762	basionym
135449	135450	basionym
101612	112438	basionym
124586	127689	basionym
146683	146683-alt	spelling correction
137488	137489	basionym
137485	130583	basionym
139897	139898	basionym
137491	137493	basionym
137495	108974	basionym
139899	108975	basionym
137497	108976	basionym
158880	158881	basionym
100555	112014	basionym
124588	126517	basionym
124589	129686	basionym
124590	127087	basionym
123734	123734-alt	spelling correction
157163	109271	basionym
157163	157163-alt	spelling correction
157164	157165	basionym
157166	109369	basionym
157480	108459	basionym
157480	157480-alt	spelling correction
124591	126717	basionym
133354	108463	basionym
133356	126717	basionym
133357	126717	basionym
133358	126717	basionym
133358	133358-alt	spelling correction
133359	133554	basionym
132356	126037	basionym
130420	130420-alt	spelling correction
133360	133479	basionym
133361	133553	basionym
101597	105772	basionym
101597	101597-alt	spelling correction
101596	106645	basionym
101596	101596-alt	spelling correction
124594	128438	basionym
100559	102552	basionym
100560	102554	basionym
100561	102554	basionym
100562	102557	basionym
124595	125021	basionym
139126	139620	basionym
100566	102569	basionym
123993	123994	basionym
143597	143598	basionym
100569	102578	basionym
100570	123990	basionym
100571	104131	basionym
100578	102978	basionym
100579	104153	basionym
139186	139740	basionym
124598	125061	basionym
123991	123992	basionym
124599	128226	basionym
100584	100584-alt	spelling correction
124600	126739	basionym
124601	102826	basionym
123562	123560	basionym
100589	118541	basionym
100589	100589-alt	spelling correction
157521	115746	basionym
157521	157521-alt	spelling correction
100585	103547	basionym
100590	100590-alt	spelling correction
100591	100591-alt	spelling correction
152587	152564	basionym
124602	126841	basionym
100588	100587	basionym
100594	109485	basionym
100595	109486	basionym
100596	103546	basionym
100597	100589	basionym
100598	109487	basionym
100599	108470	basionym
100600	109488	basionym
100601	115746	basionym
100602	109489	basionym
100603	109490	basionym
100604	118548	basionym
100605	100590	basionym
100606	109491	basionym
100607	102044	basionym
142491	142492	basionym
100608	109492	basionym
100609	109493	basionym
100610	109494	basionym
100611	118555	basionym
124271	124271-alt	spelling correction
100612	100586	basionym
100614	109497	basionym
100615	103554	basionym
100616	103556	basionym
100617	109499	basionym
100618	109500	basionym
100619	109501	basionym
100620	109502	basionym
100622	118561	basionym
100623	103559	basionym
124603	124603-alt	spelling correction
100627	117450	basionym
100628	117451	basionym
100631	109481	basionym
100633	108511	basionym
139730	139129	basionym
139731	139129	basionym
130429	130420	basionym
130429	130429-alt	spelling correction
134240	134241	basionym
100635	120764	basionym
100636	120864	basionym
100638	118175	basionym
100639	101193	basionym
100640	109228	basionym
100641	116291	basionym
100642	116291	basionym
100643	100643-alt	spelling correction
122155	122156	basionym
100645	109234	basionym
100646	109236	basionym
100647	100647-alt	spelling correction
124234	116292	basionym
100649	109192	basionym
124232	124233	basionym
124228	109248	basionym
100651	109240	basionym
100657	109241	basionym
100661	100661-alt	spelling correction
100662	100662-alt	spelling correction
122154	122153	basionym
100663	109193	basionym
124230	124231	basionym
100665	109194	basionym
122157	109194	basionym
122157	122157-alt	spelling correction
100667	109246	basionym
100668	109248	basionym
100668	100668-alt	spelling correction
100669	100669-alt	spelling correction
100671	100671-alt	spelling correction
123772	123771	basionym
123808	123807	basionym
123796	123794	basionym
123775	123774	basionym
123810	123806	basionym
123767	123767-alt	spelling correction
